,text,polarity
338,حديقه بقايا حيوانات,Neutral
339,المكان خيال مره راقي وكشخه وامان جدا السكيورتيه بكل مكان والمطاعم والكافيهات الي فيه كلها راقيه,Positive
340,حلو جدا ويحتاج ان يستمر فترة اطول,Negative
341,اجمل مكان كل شي فيه جميل,Positive
342,جمييل جدا,Neutral
343,مكان تاريخي ممتاز,Positive
344,كانت زيارة جميلة وروعة بالجو الرائع ولكن يلزم الانتباه للطريق وبالسلامه للجميع ,Positive
345,رائع واتمنى تمديده لمدة ثلاث اشهر لانه لايكفي زياره واحده له,Neutral
346,مافيه شي مختلف عن غيره حقه لفه سريعه,Positive
347,للاسف لا يوجد الاهتمام الكافي بهذا المسجد مقارنة بالقيمة التاريخية له فهو مبني في السنة السابعة للهجرة فالمفترض ان تتوفر له الحماية من العبث ويتم تسويره وانارة المنطقة من حوله والاهتمام بترميمه ونظافته والمنطقة المحيطة به بدلا من المنتجع,Positive
348,نعم مشيت بقربه,Neutral
349,هي احدى محطات طريق الحج الشامي المتجه من الشام الى المدينة المنورة ويعود تاريخ انشائها الى عهد السلطان سليمان القانوني سنة ه م وقد جدد بناؤها في عهد السلطان محمد الرابع سنة ه  م حيث سجلت اعمال هذا التجديد على بلاطات خزفية لا تزال موجودة على المدخل  ثم جددت القلعة مرة اخرى في عهد السلطان عبد المجيد بن محمد ه  م وكتب في تلك المناسبة نقش وضع فوق محراب المسجد وفي العهد السعودي الزاهر جددت عمارة هذه القلعة عام ه وقد تم ترميمها من قبل وزارة المعارف ممثلة بالوكالة العامة للاثار عام ه وتتكون القلعة من دورين يحتوي الدور الاول على فناء مكشوف وعدد من الحجرات ومسجد وبئر وهناك درج يؤدي الى الدور العلوي الذي يحتوي على مسجد مكشوف يعلو المسجد السفلي وغرف ودرج يؤدي الى الابراج التي تستخدم للحراسة والمراقبة  وكانت القلعة في الماضي مكان لاستقبال الحجاج القادمين من الشام اما الان فهي من المعالم الاثرية المهمة بالمنطقة,Positive
350,جميله ومميزه  كل الشكر على القائمين عليها,Positive
351,متحف ممتاز ولكن لا يوجد مرشدين  ولا يمكن للكفيف ان يلمس المعروضات لانها وراء الزجاج,Positive
352,سكة الحجاز ومتحف المدينة جنب بعض السكة مغلقة للترميم لكن المتحف رائع جدا ومجاني الدخول وفيه قطع واثار نادرة كثير,Positive
353,لا يعمل,Neutral
354,المتحف احد الملامح الثقافية التي تركها صاحبه رحمه الله لمدينة جدة اما بعض الصور المنشورة فليست للمتحف بل هي صور  مبرة الطيبات قرب دوار الفلك وهي ايضا من  جهود المرحوم ويظهر في كلا المعلمين مدى اهتمامه بالتراث والحضارة,Positive
355,مكان مميز للعايله يجتمع فيه الهدوء وخضرة المكان والبحر مواقف السياره ب  ريال لكامل اليوم ضروري تاخذ احتياطك من اكل وشرب لانها بعيده وغاليه زيارتي جميله وسوف اكرر التجربة,Positive
356,مكان رائع وجميل وسياحي وفيه فنادق ومنتجعات ولكنها مقفله تشتغل ايام الاجازه فقط وبالدات الان مع مرض كورونا المكان شبه خالي لايوجد احد,Negative
357,مكان سياحي جميل وعائلتي شي من الطبيعه جديد المكان مرتب تنوع الطبيعه بين الجبالبين واحات الاحساء الجميله والمناخ البارد في الصيف داخل الجبال من الاشياء الغريبه  يستحق الزياره,Positive
358,مهرجان هذا العام مختلف تماما عن الاعوام الماضية,Positive
359,يجنن ومميز يحتاج وقت طويل عشان تستمع فيه اكثر,Negative
360,المتحف مفتوح وصغير جدا والحديقه التي بها القطار مغلقه الصيانه من المفترض وضع اشعار بذلك هنا حتى لا يضيع السائح وقته,Negative
361,متحف متميز بتوفر الوسائل و الحرف الحساوية القديمة والعادات والتقاليد في الاحساء,Positive
362,اكثر من رائع  ياخذ الزائر للزمن الجميل بكل تفاصيله,Positive
363,لتقليل,Neutral
364,تجربة جميلة انبسطت فيها  تعامل الموظفين لطيف جدا واحب اشكر بالاخص جود على الاستقبال الحلو والاهتمام,Positive
365,جيد بشكل عام لا توجد لوحات ارشادية تهدف الى كل مدينة ولا الى البوابات الناس يضيعوا سيارتهم في المواقف بسبب تشابهة البوابات,Positive
366,السلام عليكم  🦒🦫🦘🦩حديقه الحيوانات بمدينه الرياض,Positive
367,منتزه جميل ولكن يحتاج الكثير من الاهتمام والمتابعة والعناية,Positive
368,ممتع جدا جميع انواع الترفيه والمشاهير,Neutral
369,سويسرا السعوديه جمال الجو والضباب المطر الغابات الكثيفه ابها سيده كل المدن ,Neutral
370,منطقة جميلة جدا والجو كان جنان,Positive
371,موقع رائع تم فيه جمع مجموعة من الاثار العربية والاسلامية,Neutral
372,لم اجد لوحات ترشدني او موظف لذلك تمشي وتتفرج وتخرج,Negative
373,اكثر من رائع,Neutral
374,مكان رائع جدا انصح الجميع بزيارته,Positive
375,ما زالت تحتاج الى انشطة و فعاليات جاذبة لسياح و عمل دعايات ترويجية لها,Negative
376,جميل المكان لكن ينصح بزيارته ايام الاسبوع لتجنب الازدحام,Positive
377,رائع جدا وجميل ونظيف وموظفين رائعين يستاهل الزيارة,Positive
378,رائع ومميز,Positive
379,من الاعلى للاسفل منظر جميل,Positive
380,زيارة جميلة مع المرشد مروان الجهني الله يسعده,Positive
381,ماشاء الله تبارك الله,Positive
382,جميل جدا وسوف اكرر زيارته,Positive
383,المكان جميل ومنظم والبحيرة رائعة لكن لا يوجد اكشاك للبيع والبحيرة بحاجة للتنظيف,Positive
384,الدخول ب  ريال و يوجد مطعم واسواق شعبيه,Neutral
385,بكل صراحه مكان ممتاز للعوائل يعرض بعض الاشياء القديمه  وعندهم مطعم حلو وبالذات البرياني جميل,Positive
386,اكل وتراث ومتعه فوق الخيال ممتاز جدا والله ما كنت اتوقع ذالك,Positive
387,المكان ممتاز ويعد وجهة سياحية مشرفة ويستحق الزيارة ويمتاز باكلاته الشعبية ولذة الطعام ونظافته وكذلك المتحف الذي يحتوي على العديد من التفاصيل الجميلة يعاب عليه رسوم الدخول وكذلك رسوم الجلسات الخاصة واظن انه من الافضل ان تكون هذه الرسوم حدا اقل من سعر الطلبات,Positive
388,السعر غالي ريال للفرد,Neutral
389,هناك يوم بالاسبوع الحديقة مغلقة وباقي الايام هناك اوقات للعائلات اوقات للرجال فقط واوقات للنساء فقط فتاكد من جدول المواعيد تقييمي للحديقة مبني على زيارتي الاولى لها وعلى واقع زيارتي لاكثر من حديقة حيوان في دول اخرى عربية واجنبية ابدا,Neutral
390,رائع ما ادري وش اوصف هذي السنة الثانية اللي ازور فيها المهرجان ابرز التجارب تجربة قيادة السيارة  الرماية  لعبة الواقع الافتراضي VR بجناح تقنية المعلومات عروض التفحيط و غيرها الكثير للامام دوما,Neutral
391,اطلاله رااائعة,Neutral
392,بصراحة لم ادخل الحديقة لكن ما اراه من تنظيم عند المدخل و اهتمام من العاملين بقص الذاكر و الامن الخارجي فهو جيد و من داخل الحديقة احد الزملاء بالعمل يقول احضرت اهلي و اطفالي ودخلنا لكن لم نستمتع بسبب انك تمشي وتشاهد الموجود في الحديقة ولا,Positive
393,جبرة او جبرة القرشية الواقعة في الشمال الشرقي لمحافظة الطائف تغزل بها الشعراء ووصفها البلغاء سميت نسبة لجبرة المخزومية زوج امير مكة والطائف في العهد الاموي محمد بن هشام  هذا ما ذكره المؤرخ عيسى علوي القصير في حديث ل»مكة» قائلا ان منطقة جبرة بالطائف التي ذكرت في بعض الحجج والوثائق والمستندات التاريخية لاراضي جبرة الزراعية كانت مثار حديث الادباء والشعراء مشيرا الى ان تسمية جبرة التي اطلق اسمها على هذه المنطقة تعود الى زوجة امير مكة والطائف محمد بن هشام المخزومي جبرة المخزومية والذي تولى امارة مكة والطائف في عهد الخليفة هشام بن عبدالملك سنة من الهجرة وقد ذكرها الشاعر العرجي بقولهعوجي علينا وسلمي جبرة فيم الصدود وانتم سفروبها الان عدة مزارع وبساتين غناء وجداول مياه غزيرة على ضفاف نهاية وادي وج مرورا بوادي العرج وتعد متنزها كبيرا تحيط به بعض البيوت الشعبية وجبرة مزارع في وادي الجفيجف شرق الطائف فيها بئر يخرج ماؤها من عمق مترين ونصف وفيها بساتين واضاف ان قصر جبرة ومزرعته الواقعة على وادي وج بين الطائف والعرج كان مكانا يجتمع فيه المصطافون بعد العصر فيكتظ بالعائلات والرواد فاقيمت فيه مقاه يجري الماء بجانبها فيحيل جنبات الوادي الى اماكن خضرة نضرة واضاف ان المتجه الى الشمال الشرقي يصادفه المتنزه الجميل المعروف باسم جبر وهذا المتنزه كان في الاصل في بداية العهد السعودي تحت يد الشريف عبدالله بن فراج المربي واخيه المرحوم الشريف عارف وجماعتهم ثم تم تحكيره في عهد جلالة المغفور له الملك عبدالعزيز للشيخ عبدالله السليمان الحمدان وحيث استصلح الموقع على ضفة وادي وج وحوله الى بستان رائع وبنى فيه قصرا جميلا وهو ما عرف بقصر جبرة واشار الى ان القصر الواقع بجبرة قصر ابن سليمان كان يعهده الوزير عبدالله السليمان رحمه الله فكان المتنزه غاية في التنظيم والتنسيق والبهجة كما يعد متنزها ومتنفسا للاهالي والمصطافين خلال فصول الصيف والاعياد قديما وفي كل الاوقات «القيلات» او الاستمتاع بالخروج بعد العصر الى وقت الغروب وكان الذهاب الى متنزه جبرة بواسطة ركوب السيارات «الونيتات» او «اللواري» لقضاء امتع الاوقات بين احضان الطبيعة والجمال ويستطرد فيقول ان القصر سكنه الملك سعود بن عبدالعزيز رحمه الله حين كان وليا للعهد وقد ادى حج رئيس الجمهورية المصرية اللواء اركان حرب محمد نجيب وكان في ضيافة الامير سعود ولي العهد بعد ادائه مناسك الحج فنزل في قصر جبرة بالطائف مدة اقامته مؤكدا ان التاريخ يسجل بان زيارة الرئيس المصري الى الطائف تعد حدثا تاريخيا لما تتمتع به مدينة الطائف وقصر جبرة من جو ومكان جميل وجبرة تجدها على يمينك جوار هضبة حمراء اسمها دمه وتدخل مباشرة قبلها على يمينك في اتجاه الخط الدائري لتجد على يسارك منحنى العرج,Neutral
394,شي رائع جدا,Neutral
395,حساوي وماعمري طبيته بس يقولون زين,Positive
396,يعتبر من الاماكن التي تحكي عن تاريخ الاحساء تقام فيه بعض الفعاليات والمهرجانات في وقتها انصح بزيارته وقت الفعاليات,Neutral
397,مهتم بالتراث,Neutral
398,يا عيني على المكان هدوء و اطلاله على البحيره تاخذك لعالم اخر  الطريق لا يصلح الا لسيارات الدفع الرباعي ولن تصل للمكان بدون اجهزة ملاحة او دليل يوصلك للمكان  خذ معك كمية كافيه من المياه و الماكولات لانعدامها هناك,Positive
399,ممتع ايام التنفس ماكو احددد والسعر مناسب للمنظروشكرا,Neutral
400,المكان رائع ولا تستطيع التوقف الا وترى جمالا تراثيا يعود بك الى الماضي الاكل لذيذ جدا,Positive
401,يجب توفير الخدمات بها,Positive
402,مكان جميل لكن بعيد وامكانية وجود سيارات اجرة شحيحة,Positive
403,حضرت فعاليات تنوين قبل اسبوع والفعاليات اغلبها عادية جدا تعتبر اغلب الفعاليات مناسبة للاطفال من عمر  سنوات الى  سنة فعالية الدمى العملاقة كانت مخيبة للظن سيئة والمعلق اسوا بظني لو شغلوا اغاني معها كان انسب,Negative
404,تحتاج تحديث وتطوير يبدو ان انتقالهم للمقر الجديد جعلهم لايهتمون بالمقر الحالي  الاكل الشعبي عندهم مميز,Positive
405,البحيرة جميلة جدا واتمنى من الجميع زيارتها,Positive
406,جميل جدا وهادي,Positive
407,عبارة عن مزولة شمسية دقيقة جدا بتحديد فصول السنة كانت تستخدم قديم ومازالت الى الان ينصح بشدة زيارتها وزيارت البلدة القديمة والمعالم الاثرية الموجودة بمنطقة العلا,Neutral
408,يقفل بدري الساعه  م,Neutral
409,الاسعار مبالغ فيها مشكلة المواقف,Negative
410,جميل جدا والطاقم متعاونين ولطفاء وقطغا ساكرر الزيارة,Positive
411,تحتوي على نماذج لمساكن اهل المنطقة القديمة مثل العشة والعريش ويوجد سوق شعبي بسيط وبشكل عام تستحق تقييم متوسط فكرتها جميلة لكن تحتاج تطوير واضافة لتشمل تاريخ المنطقة بالكامل,Positive
412,حلوو وممتع,Neutral
413,متحف  توجد في تقريبا كل الاشياء القديمه الحقيقةمكان جدا  رائع وجميل يقع في حى ام السباع بالطائف,Positive
414,مكان جميل بالمقاهي والمطاعم الموجودة فيه,Positive
415,بحيره جميله ومنظمه شكرا بلديه ينبع وعندي ملاحظه بسيطه وهي كثره الناموس,Positive
416,مكان جميل بس قسم الافاعي من اكثر من سنه وهو صيانه,Positive
417,المكان روعه لاكن اتمنى ان تعملونن نظام انو الشباب مايدخلون الا مع العيله مع الاهل وشكرا,Negative
418,جميل قليله فيه والله ولاتوفيه حقه  مظلوم اعلاميا بشكل كبير,Positive
419,جميلة جدا  لكن المفروض يتم التنبيه عفى بعض الزوار بمراعاة النظافة في دورة المياه,Positive
420,التصميم المعماري للمتحف خلاصة للجمع بين وظيفتين  الوظيفة الاولى متعلقة بالعرض المتحفي حيث تتسم بالبساطة والاستجابة المباشرة,Positive
421,حديقه جميلة وهادئه ونضيفه  ولاكن لايوجد فيها مطاعم اوكيفيهات او حتى بقالة,Positive
422,من ابرز المعالم السياحية في الاحساء تمت اضافته الى لائحة التراث العالمي عام م يبعد الجبل مسافة كيلومترا شرق مدينة الهفوف ويحتوي على مجموعة جبال تشكل بعضها مغارات باردة من الداخل على الرغم من ارتفاع درجة الحرارة في الخارج متعوب على تنظيمة وترتيبة ومجمل بلوحات وصور وكتابات وفي الخارج محل تذكارات وهدايا,Positive
423,جميل للسياحه والاجمل انه في تطور مستمر ,Positive
424,يجب حجز تذكرة دخول من الموقع الالكتروني او من مركز المعلومات المتواجد في المتنزه الشمالي الشتوي  يجب الذهاب اولا للمتنزه الشتوي لايقاف سيارتك في المواقف المجانية ثم الركوب في الحافلة المجانية المخصصة لزيارة البلدة القديمة والعودة نفس الشيء,Positive
425,المكان جميل توجد عدة محلات متنوعه,Positive
426,شكرا للامانة,Positive
427,للامانة يحتاج عناية للحيوانات والطيور واضح عليهم عدم النظافه وعدم تغذيتها اتقوا الله فيها في اعناقكم 🤝,Negative
428,مكان يستحق الزيارة فيه مناظر حلوة ينقصه الاهتمام من قبل البلدية من تعبيد الطريق والقضاء على الباعوض,Positive
429,مكان جميل ومنظم بشكل ممتاز وغني بالمعلومات يستحق الزيارة بلا شك,Positive
430,مكان جميل ولكن ينقصه بعض الالعاب المائيه وبعض المرافق العامه تحتاج الى اهتمام اكثر,Positive
431,تقليد,Negative
432,لحظات ومن اجمل واطيب اللحظات  تراث جيزان في قرية صغيره  لكن ب احساسها كبيره,Positive
433,مكان هادئ ونظيف مناسب جدا للعوائل,Positive
434,صراحه متحف انصح بزيارته اذا بتزور المدينة المنورة بس يرجى لفت النظر الى بعض الامور الا وهي زي عمال النظافه  توظيف مرشدين  لفت النظر الى سعر الدخول وشكرا,Positive
435,مكتبة اثراء  توفر المواد التعليمية والانشطة المتنوعة ما يلهم روادها من جميع الاعمار والخلفيات ويثري معرفتهم وتمتلك باقة متنوعة من المصادر الرقمية بالعربية والانجليزية منها كتب مسموعة وكتب رقمية ويتم التحديث والاضافة اليها بشكل,Positive
436,اتمنى يزيلون الشاشات والقرف ويستحون النساء شوي بس على دمهم من شرب الشيشا,Negative
437,ثاني مسجد صلي به الجمعة بعد مسجد النبي على كلام السياحة  يوجد حوله مركز سياحي جديد له دخولية بعشرة الان ويشمل مسطحات خضراء و مائية ويوجد بعض الالعاب و المطاعم والاماكن الترفيهية,Positive
438,به صيانه,Neutral
439,معرض فخم ومرتب وغني بمعلومات جميله,Positive
440,التجربة تجننن مره وشيء متعوب عليه صراحة وتعامل الموظفين جدا محترم خصوصا الدبدوب 🤣,Positive
441,الاسعار غاليه بالنسبه للجوده المتحف رائع في ااطابق العلوي,Positive
442,موقع سياحي بامتياز,Neutral
443,مبنى تحفه الا ان مافيه لم يعكس ولو  من تراث جازان  اتمنى من امانة جازان تمكين الاسر المنتجة الحقيقية منه او تسليمه لمستثمر يحييه,Positive
444,بلدة جميلة ورائعة,Positive
445,لهدر,Neutral
446,قلعة اثرية رائعه تستحق الزيارة,Neutral
447,مستغرب,Negative
448,الاجواء روعة والضباب,Neutral
449,دون المستوى والتوقعات,Positive
450,يحتاج الى تنوع الاشجار والزهور وتنظيف احواض الاشجار والعناية بالنظافة,Negative
451,افشل مجمع بالعالم بسبب الضيق والزحمة وقلة الحياء,Neutral
452,ريحته,Neutral
453,مجنونه بحلاه,Neutral
454,رائع وجميل مطل على جبال الهدء ومنظر الضباب وهو يتدفق الى اعلى جبال الهدء ثم الطائف,Positive
455,مكان نظيف ومرتب اشكركم على الاهتمام,Positive
456,افضل وارتب واكبر حديقة للحيوانات بالشرق الاوسط اشكر كل القائمين عليها واخص بالذكر  الاستاذ محمد مريدي,Positive
457,جميله وخاصه عند الغروب,Positive
458,جميل جدا من مسجد قدم في الاسلام,Positive
459,طفيفة,Neutral
460,متحف متميز بمعلوماته القيمه والمفصله,Positive
461,فرصة رائعة لمعرفة تراث المملكة العربية السعودية ولكن يعيب عليهم التكرار في كل سنة والوقت جدا قصير فقط اسبوعان او ثلاثة غير كافية مما يسبب زحام ايضا نتمنى الاستفادة منه تجاريا ولفترة اطول من السنة على غرار القرية العالمية في دبي,Negative
462,من الصور فقط يبدوا انه غير مؤهل المعروضات مغبرة والمكان شبه مكشوف يجب ان يراعي المقاييس الاساسية على الاقل,Negative
463,مناسب العائله,Neutral
464,جميل لكن الطريقدالمؤدي للوصول له سيء,Positive
465,متحف رائع وانصح بزيارته فالتدرج فيه رهيب من العصور القديمة حتى تصل الى وقت الملك عبدالعزيز ويوجد فيه قوس الصحابي الجليل سعد بن ابي وقاص,Positive
466,لا احبه هناك نهي من الرسول الكريم عن التجول فيه الا مسرعا,Positive
467,يحمل من اسمه الكثير اشكر صاحبه المطرودي على ما قدمه خدمتا لحائل و وطنه,Neutral
468,بسيط,Neutral
469,بذاك,Neutral
470,مميز وتجربه جديده بها تعرض العلوم بشكل  ممتع ومرتب نشكر القائمين عليه,Positive
471,جميل هذا المتحف ببساطته و بساطة محتواه و اجمل جزء فيه كان الجزء الخاص بالسيارات القديمة جدا كانت افخم و ارقى من الان و قسم الادوات المدرسية قديما و الادوية و العملة و الدكاكين القديمة ولكن ينقصه وجود مرشد و كذلك ينقصه وجود متجر لائق بالمتحف و كذلك يا حبذا لو كان يوجد مقهى على الطراز القديم كان رسوم الدخول للفرد  ريال و الاطفال مجانا,Positive
472,ابشع,Neutral
473,تم تطويرها بشكل ممتاز و تكثيف الحراسات للتنظيم ومنع رمي الاكل للحيوانات,Positive
474,يوجد اعمل صيانه لموسم الرياض,Neutral
475,اشكر القيادة السعوديه على العمل الكبير وهو اكثر من رائع جمع التراث لكل منطقه في مكان واحد اتمنى من القائببن  على هدا المهرجان  زياده مساحه وقوف السيارات,Positive
476,منظر خيالي لكن حشرات,Positive
477,ممتاز ومرتب الله يعطيهم العافية جميع القائمين عليه,Positive
478,في من اقدم المهرجانات التراثيه في المملكة العربية السعودية في مدينة الرياض  كل سنه التنظيم افضل من السنه الي قبله للجميع افراد العائلة,Positive
479,افضل مكان بنسبة ليا ,Positive
480,مكان ممتاز للعائله والاطفال,Positive
481,المكان جميل وتراثي وسوف يقام منتجعات ومخيمات ومهرجانات في القريب سوف يبداء العمل التجهيز,Positive
482,جميله جدا اي واحد يجي جده لازم يزوره,Positive
483,حديقه مرتبه مفتوحه للجميع طوال الاسبوع عدا يوم الجمعه صيانه من ثمانيه ونصف للخمسه التذكره ب  ريال لذوي الاحتياجات الخاصه مجانا مع مرافق,Positive
484,المهرجان ممتاز جدا  وغدا الاربعاء  يناير اخر يوم  جناح الخرج مميز   الاستاذ  فهد السهلي  وجميع الوفد مميزين,Positive
485,معرض يفوق الوصف والتعبير الذي  لم يزوره انصحه بزيارته والذهاب اليه من الصباح لكي يستمتع من المعلومات القيمه والمفيده لدى الكبار وخصوصا للصغار الذي يدرسون,Positive
486,من اجمل المناظر الجميله,Positive
487,متحف رائع جدا  يتميز بالضيافة الجميلة وبتقديم التمر والقهوة في اول الزيارة ثم التنقل مع مرشد,Positive
488,في اعمال,Neutral
489,القريه التراثيه صممت لاجل معرفه ثقافه اهل منطقه جازان في الماضي قريه جميله وهادئه,Positive
490,فخامة لا توصف,Neutral
491,اتمنى استمراره طوال العام,Negative
492,اعتذار,Neutral
493,اتمنى,Negative
494,اجمل حديقة هادئة وجميلة ممكن تزورها  نظافة واهتمام بالعاب الاطفال والمسطحات الخضراء والبحيرات,Positive
495,معرض استكشاف,Positive
496,المكان عادي جدا مع وجود مطاعم اسعارهم خيالية ووجود كافيهات عادية وزحمة على الفاضي صراحة موقع لا انصح بزيارته ابدا ابدا ابدا,Positive
497,قرية تستحق الزيارة,Neutral
498,زرت فعاليات داون تاون روعه وممتعه مناسبه للعائلات والاطفال عندهم سينما خارجيه للاطفال الدخول مجانا والعديد من الفعاليات اللي تناسب الاعمار الكبيره,Neutral
499,يحتاج ترميم واعادة تاهيل,Negative
500,مكتبة اثراء مكتبه جميله وهادئه مناسبه للدراسه المشكله انها تسكر بدري,Positive
501,اثراء وله من اسمه نصيب,Neutral
502,فعاليات وتنظيم ممتاز,Positive
503,المكان مغلق حاليا بسبب كورونا,Neutral
504,جميل لو كان المكان يتمتع بالخظار كان سيكون ممتاز,Positive
505,انصح اهل الرياض و من يزورها المرور على هذه التحفه التاريخيه,Positive
506,تجربه حلوه و ممتعه و نطمح للمزيد باذن الله,Positive
507,مكان راائع وساحر للتنزه مع العائله ممكن تجيب عزلتك واغراضك وتطبخ  وتشوي وممكن تجيب اكلك جاهز  وهذا يفضل لان المطر ممكن ينزل باي لحظه عليك,Positive
508,جميله ك مكان تاريخي لكنها اصبحت مركز ترويج مخدرات والكثير من المخالفات واستحوذو الافارقه عليها,Positive
509,مهرجان وطني سنوي يستمر لنصف شهر تنظمه وزارة الحرس الوطني ويهتم بالثقافة والفنون والموروثات الشعبية فيه العديد من الفعاليات الادبية والثقافية من امسيات شعرية وندوات ثقافية وسباق للهجن الجمال,Negative
510,مكان جميل انصح الجميع بزيارته ,Positive
511,مكان جميل ومفيد جدا يحتاج الكبار والصغار,Positive
512,من اجمل الاماكن العائليه بينبع  اكرر الزياره وانصح بها وبشده  عيبها الوحيد لايوجد فيها خدمات عامه مثل دورات المياه او محلات اكل او تموينات  يعني احسب حسابك من هالناحيه  اتمنى يهتمون بالنقطه ذي,Positive
513,حلوه واقيه,Neutral
514,مكان مرتب وجميل جدا,Positive
515,مانصح فيه ابدد والمطاعم قبيحه والممشى صغير والمكان صغير بشكل,Negative
516,ممتاز و حلو ينقصه بعض الخدمات و تحسينات,Positive
517,ضئيل,Neutral
518,احد عجائب الطبيعة التي وهبها الله سبحانه وتعالى لهذه المنطقة داخل الجبل برودة في الصيف وتيارات هوائية باردة ودافئة بالشتاء حاليا العمل بها ممتاز من قبل البلدية بالرغم من وجود المخربين ولكن يشكرون على اهتمامهم لا تفوت زيارتها,Positive
519,قرية شعبية متكاملة رائعه جدا انصح بزيارتها يوجد بداخلها مطعم,Positive
520,جلسات رائعة خدمات متميزة,Positive
521,روعه في الجمال بعد التعديلات عليها ونشكر القائمين عليه,Positive
522,حديقه اكثر من روعه واشكر القايمن عليها,Neutral
523,معلم جيد و ثري بالمعلومات الاثريه و عحبني التطور فيه و لكن يفتقد لنظافة دورة المياه و عدد الحمامات قليله جدا و المصلى مغلق  و النساء يصلون على سجاد عند الدرج,Neutral
524,مهرجان رائع وممتاز وفيه كثير من الانشطه الترفيهيه والثقافية والطبية وغيرها مهرجان يهتم بتراث الوطني بشكل خاص والتراث العربي بشكل عام كل سنه يستضيف دوله من دول العالم لتقدم لنا عادات وتراث تلك الدوله فيه اهم الاماكن الحكوميه لتقديم المعلومات,Positive
525,جبل القارة موقع جميل ومشوق انصح وبشدة زيارة الموقع,Positive
526,تسليك,Neutral
527,مرتب,Positive
528,مناظر طبيعيه,Neutral
529,المكان جميل فيه مطاعم مشهور في الرياض خاص لتمشيه,Positive
530,موقع صغير للاسف وشبه انه انتهى ولم يرجع مجده الا بوجود فرع ستاربكس,Negative
531,جميل جدا 🥰,Positive
532,ممتعه  و بعد التجديد صايره رهيبه  ناقصها مطاعم وجبات سريعة فقط و ياليت يتم تحديد عدد معين من الزوار  صراحة اليوم نبي القطار و مره زحمه ماقدرنا نركب,Positive
533,مكان ممتاز جدا ويوجد به التراث يعيب عليه ارتفاع اسعار وجبات الطعام,Positive
534,ممتعه جدا نصيحة البسوا جزمة رياضية مناسبة للمشي لانكم بتمشون كثير  جيبوا معاكم عربية علشان اذا شريتوا شي تحطونه فيها وما تتعب اكتافكم من شيل الاغراض,Neutral
535,منتزه جميل ومرتب وبه بحيره وكوفي ومطاعم وجلسات والعاب للاطفال ومهيا ل ,Positive
536,احب الاماكن التاريخيه وملابس زمان وفي مكان اكلات شعبيه زي الفول والمعصوب على الشارع يجنن,Positive
537,حقيقه سعدت جدا بزيارته اليوم المكان كبير جدا جدا جدا ومتعب في المشي والتنقل يفترض توفير باصات سيارت صغيره وسائل للتنقل,Negative
538,جميل ولكن يرجى مراجعة رسوم الدخول وتخفيضها,Positive
539,يستحق الزيارة محاكاة جميلة للسيرة النبوية و سيرة المدينة المنورة,Positive
540,زرت المتحف خلال وجود اعمال تجديد وصيانة واتمنى يصل الى الافضل,Positive
541,جنة الله في الارض,Positive
542,مكان جميل للاطفال لكن ينقصه الاهتمام في مكان جلوس العائله او المرافق وعدم وجود مراوح لوقت الرطوبه والصيف,Positive
543,قدييم ومتهالك وموحش,Neutral
544,متحف عظيم يشرح لك منذو ولادة الرسول صلى الله عليه وسلم وحتى وفاته وبعض غزواته بالمجسمات والخرائط المصغرة وانصح لمن يزور المدينة زيارته  وفق الله مؤسس هذا المتحف الدكتور عبدالعزيز كعكي الدخول للشخص  ريال,Positive
545,البحيرة جميلة جدا لكن للاسف الاغاني يتم تشغليها من قبل بعض الكشكات وهذا زيادة على تحريمه لا تراعى فيه الخصوصية كما توجد اماكن للشيشة وهذا يعكر صو الاجواء,Positive
546,فاحش,Neutral
547,تنظيم وتنسيق للحديقه وعمل جبار يستحق الثناء للامانه لاحظت تغير ملموس وتنرتيب من حسن لاحسن تستاهل الزياره   تعتبر حديقه جميله ومتميزه اتمنى لهم التوفيق وانصح بزيارة الحديقه افضل من قبل بكثير بالتوفيق  وشكرا للقائمين والمنسقين والمنظمين والعاملين كافه  مع خالص الشكر للجميع,Positive
548,رائع وفيه كوكبة من الشباب عندهم المام بالسيرة وقمة في الاخلاق,Negative
549,جميل جدا بس زحمه بسبب خلط الشباب مع العوائل بالاخص مواقف السيارات وافضل المناطق واللي زرناها هي منطقة الباحه وعسير ودوله الامارات  بس تمشيه لا تنسى ,Neutral
550,مكان ممتع وجميل يحتاج زياده في الترتيب والترفيه,Positive
551,مكان جميل والمسجد صلى فيه ثاني جمعه بالاسلام بعد مسجد الرسول عليه الصلاة والسلام,Positive
552,جنيل جدا ويصلح للكبار ونصف الالعاب  للصغار,Neutral
553,قريه شعبيه رائعه تشمل خدمات المطاعم والالعاب ومحلات متنوعه الدخول للفرد ب ريال,Positive
554,مكان رائع واجواء اروع واماكن محددة للجلوس ودورات مياه نظيفة,Positive
555,ممتاز انصح بزيارته المكان وخصوصا المتحف,Positive
556,كل شي موجود فيه اشياء تراثية وغيرها,Positive
557,مكان رائع وانشطة رهيبة زرته فوق  مرة يحتوي على معرض طاقة مجاني,Positive
558,ونعم القصر,Positive
559,مكان جميل جدا للتنزه,Positive
560,المنتجع مجدد بالكامل شغل متعوب عليه والفلل نظيفه وفيه فود ترك ومطعم كبير على الشاطى الاسعار غاليه لكن يستحق الزياره,Positive
561,تنظيم ممتاز  العربات نظيفه وتعقم بعد كل راكب صراحه  جهد يشكرون عليه,Positive
