word,polarity,word_clean,word_preprocessed
تجيب,1,تجيب,تجيب
يخدم,1,يخدم,يخدم
حرجع,1,حرجع,حرجع
وأرتب,1,وارتب,وارتب
واتنظمت,1,واتنظمت,واتنظم
راقى,1,راقى,راقي
عشنا,1,عشنا,عشنا
الاعتزاز,1,الاعتزاز,اعتزاز
تثقيف,1,تثقيف,تثقيف
غرام,1,غرام,غرام
ستخنقه,1,ستخنقه,تخنق
العبرة,1,العبرة,عبر
مفعمه,1,مفعمه,مفعم
مانوينا,1,مانوينا,مانو
ماحسينا,1,ماحسينا,ماحس
يفقدك,1,يفقدك,يفقد
تخق,1,تخق,تخق
وصنع,1,وصنع,صنع
عايدي,1,عايدي,عايد
اصلاحات,2,اصلاحات,اصلاحا
كرم,1,كرم,كرم
تحسينات,2,تحسينات,تحسينا
منسق,2,منسق,منسق
تحللها,2,تحللها,تحلل
بيتهم,3,بيتهم,بيت
ويسر,2,ويسر,يسر
استكنان,2,استكنان,استكن
فخوره,1,فخوره,خور
موهب,1,موهب,موهب
شغفوف,1,شغفوف,شغفوف
